Year,Statistic,Temperature_degrees_celcius
1909,National_average_temperature,12.39
1910,National_average_temperature,12.46
1911,National_average_temperature,11.95
1912,National_average_temperature,11.33
1913,National_average_temperature,11.57
1914,National_average_temperature,11.58
1915,National_average_temperature,11.94
1916,National_average_temperature,12.99
1917,National_average_temperature,12.8
1918,National_average_temperature,11.81
1919,National_average_temperature,11.39
1920,National_average_temperature,11.54
1921,National_average_temperature,11.86
1922,National_average_temperature,12.01
1923,National_average_temperature,11.85
1924,National_average_temperature,12.81
1925,National_average_temperature,11.59
1926,National_average_temperature,11.78
1927,National_average_temperature,11.62
1928,National_average_temperature,12.7
1929,National_average_temperature,11.95
1930,National_average_temperature,11.25
1931,National_average_temperature,11.45
1932,National_average_temperature,11.6
1933,National_average_temperature,12.06
1934,National_average_temperature,12.27
1935,National_average_temperature,12.47
1936,National_average_temperature,11.88
1937,National_average_temperature,11.67
1938,National_average_temperature,12.85
1939,National_average_temperature,11.93
1940,National_average_temperature,11.74
1941,National_average_temperature,11.73
1942,National_average_temperature,12.03
1943,National_average_temperature,11.76
1944,National_average_temperature,11.78
1945,National_average_temperature,11.53
1946,National_average_temperature,11.8
1947,National_average_temperature,12.06
1948,National_average_temperature,12.29
1949,National_average_temperature,12.01
1950,National_average_temperature,12.12
1951,National_average_temperature,11.8
1952,National_average_temperature,12.12
1953,National_average_temperature,12.06
1954,National_average_temperature,12.59
1955,National_average_temperature,12.78
1956,National_average_temperature,12.92
1957,National_average_temperature,12.46
1958,National_average_temperature,12.39
1959,National_average_temperature,12.15
1960,National_average_temperature,12.27
1961,National_average_temperature,12.28
1962,National_average_temperature,12.91
1963,National_average_temperature,11.96
1964,National_average_temperature,12.02
1965,National_average_temperature,11.88
1966,National_average_temperature,12.15
1967,National_average_temperature,12.27
1968,National_average_temperature,12.21
1969,National_average_temperature,12.18
1970,National_average_temperature,12.87
1971,National_average_temperature,13.1
1972,National_average_temperature,12.24
1973,National_average_temperature,12.69
1974,National_average_temperature,12.74
1975,National_average_temperature,12.61
1976,National_average_temperature,11.73
1977,National_average_temperature,11.77
1978,National_average_temperature,12.82
1979,National_average_temperature,12.55
1980,National_average_temperature,12.25
1981,National_average_temperature,12.86
1982,National_average_temperature,12.11
1983,National_average_temperature,12.03
1984,National_average_temperature,12.68
1985,National_average_temperature,12.85
1986,National_average_temperature,12.65
1987,National_average_temperature,12.77
1988,National_average_temperature,12.93
1989,National_average_temperature,12.97
1990,National_average_temperature,12.99
1991,National_average_temperature,12.17
1992,National_average_temperature,11.48
1993,National_average_temperature,11.84
